		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001100101   27   26   30   27   23   32   16   20  8.350399 0.400012 SUCCESS  42
001100111   25   19   16   38   20   26   22   21 13.737591 0.088867 SUCCESS  43
001101011   19   29   27   24   23   22   21   20  4.060770 0.851599 SUCCESS  44
001101101   27   24   18   24   25   28   34   34 10.411142 0.237346 SUCCESS  45
001101111   27   20   32   15   26   23   25   21  7.992930 0.434161 SUCCESS  46
001110101   29   25   21   23   33   21   16   33 11.231335 0.188933 SUCCESS  47
001110111   29   36   26   30   21   12   22   29 16.180296 0.039871 SUCCESS  48
001111011   25   26   19   19   28   21   29   16  7.517629 0.481947 SUCCESS  49
001111101   22   22   25   19   28   28   22   28  3.629821 0.888884 SUCCESS  50
001111111   25   20   25   35   23   38   23   28 14.165230 0.077559 SUCCESS  51
010000011   24   24   19   26   27   23   22   25  1.985464 0.981454 SUCCESS  52
010000111   25   19   23   26   31   23   23   14  8.034635 0.430094 SUCCESS  53
010001011   28   29   18   26   28   19   23   30  6.486264 0.592932 SUCCESS  54
010001111   16   17   25   22   28   26   22   23  6.551138 0.585741 SUCCESS  55
010010011   21   25   28   22   23   19   16   19  6.838437 0.554160 SUCCESS  56
010010111   22   28   24   39   24   22   22   31 12.173333 0.143636 SUCCESS  57
010011011   29   30   23   24   27   28   31   28  5.548239 0.697690 SUCCESS  58
010011111   19   22   28   25   24   26   36   26  7.969761 0.436430 SUCCESS  59
010100011   27   28   22   16   19   21   22   18  7.770505 0.456203 SUCCESS  60
010100111   19   22   21   26   22   21   27   22  3.339874 0.911256 SUCCESS  61
010101011   25   28   29   26   19   27   20   34  7.817506 0.451497 SUCCESS  62
010101111   18   27   28   16   12   25   23   21 12.659226 0.124125 SUCCESS  63
010110011   24   21   26   23   30   27   30   21  4.122334 0.845921 SUCCESS  64
010110111   25   27   27   18   26   26   23   24  2.630232 0.955381 SUCCESS  65
010111011   31   22   20   21   28   26   22   24  4.307689 0.828351 SUCCESS  66
010111111   19   25   32   25   20   32   25   31  8.842912 0.355721 SUCCESS  67
011000111   28   31   24   28   28   21   23   18  5.808397 0.668684 SUCCESS  68
011001111   31   20   22   26   22   31   24   24  5.121924 0.744469 SUCCESS  69
011010111   17   24   28   21   23   21   21   28  4.975626 0.760178 SUCCESS  70
011011111   27   29   22   15   33   23   20   24  9.213621 0.324597 SUCCESS  71
011101111   19   33   20   23   24   22   22   23  5.848778 0.664167 SUCCESS  72
011111111   23   25   24   35   26   35   28   28 10.836133 0.211158 SUCCESS  73
100000000   20   30   27   28   23   26   20   23  4.079306 0.849898 SUCCESS  74
100010000   15   28   23   29   27   15   29   24 10.204605 0.250958 SUCCESS  75
100100000   25   22   24   31   30   21   26   23  4.122334 0.845921 SUCCESS  76
100101000   18   30   25   27   30   24   21   21  5.680635 0.682955 SUCCESS  77
100110000   20   20   24   22   23   18   28   24  4.263336 0.832617 SUCCESS  78
100111000   24   19   28   28   28   29   28   13  9.841178 0.276351 SUCCESS  79
101000000   11   22   34   23   25   29   22   34 16.899868 0.031169 SUCCESS  80
101000100   25   25   30   29   23   27   22   24  2.877150 0.941829 SUCCESS  81
101001000   26   32   24   25   24   19   27   21  4.596312 0.799722 SUCCESS  82
101001100   29   20   25   25   32   25   22   36 10.156942 0.254183 SUCCESS  83
101010000   22   27   23   21   29   33   27   30  6.750394 0.563787 SUCCESS  84
101010100   24   20   21   20   22   26   26   27  2.883108 0.941477 SUCCESS  85
101011000   19   32   26   25   31   21   23   36 11.927738 0.154457 SUCCESS  86
101011100   24   25   26   24   24   22   15   28  4.679721 0.791195 SUCCESS  87
101100000   24   28   31   21   22   31   20   25  5.817003 0.667722 SUCCESS  88
101100100   23   22   28   24   27   24   25   19  2.426342 0.965077 SUCCESS  89
101101000   32   14   24   20   26   23   32   31 12.341476 0.136606 SUCCESS  90
101101100   32   26   26   23   22   25   31   25  4.869048 0.771476 SUCCESS  91
101110000   24   21   26   33   20   29   22   23  5.782580 0.671571 SUCCESS  92
101110100   28   30   24   22   24   22   23   26  2.571316 0.958322 SUCCESS  93
101111000   17   21   20   19   10   21   24   23 14.224808 0.076091 SUCCESS  94
101111100   19   25   22   18   27   17   19   19  8.303399 0.404408 SUCCESS  95
110000000   21   31   23   20   27   27   18   24  5.552873 0.697175 SUCCESS  96
110000010   16   28   21   25   33   30   27   24  8.799884 0.359458 SUCCESS  97
110000100   21   20   24   17   20   17   29   24  7.677166 0.465624 SUCCESS  98
110001000   15   23   22   26   23   15   25   19  9.252678 0.321431 SUCCESS  99
110001010   23   24   23   19   18   30   24   25  4.493043 0.810129 SUCCESS 100
110010000   20   21   22   24   27   30   25   20  4.010460 0.856179 SUCCESS 101
110010010   22   23   27   28   20   21   24   22  2.722247 0.950561 SUCCESS 102
110010100   22   31   30   23   29   27   25   22  4.945175 0.763419 SUCCESS 103
110011000   18   24   24   22   24   24   21   29  3.391509 0.907445 SUCCESS 104
110011010   31   26   24   30   22   25   28   24  4.106447 0.847394 SUCCESS 105
110100000   26   17   32   22   16   27   21   27  9.170592 0.328110 SUCCESS 106
110100010   29   21   27   27   27   28   25   31  4.657876 0.793438 SUCCESS 107
110100100   28   25   30   26   25   15   22   20  6.823874 0.555749 SUCCESS 108
110101000   30   29   20   24   25   33   26   20  7.131033 0.522564 SUCCESS 109
110101010   24   26   23   20   26   27   15   26  5.264250 0.728995 SUCCESS 110
110101100   25   23   22   23   36   24   27   29  7.317711 0.502774 SUCCESS 111
110110000   36   26   32   25   22   27   25   23  8.903152 0.350532 SUCCESS 112
110110010   25   29   30   18   19   23   23   24  5.383406 0.715921 SUCCESS 113
110110100   28   16   24   25   20   26   31   30  7.663926 0.466968 SUCCESS 114
110111000   27   28   26   33   15   27   21   22  8.841588 0.355835 SUCCESS 115
110111010   31   26   28   20   23   30   22   32  7.428261 0.491208 SUCCESS 116
110111100   15   21   25   22   17   18   29   21  9.930545 0.269935 SUCCESS 117
111000000   26   22   17   27   31   18   20   26  7.467318 0.487151 SUCCESS 118
111000010   17   24   25   18   19   25   22   20  6.388953 0.603750 SUCCESS 119
111000100   24   25   18   33   19   14   29   18 13.338417 0.100724 SUCCESS 120
111000110   24   22   29   18   24   28   15   21  7.669884 0.466363 SUCCESS 121
111001000   23   25   21   28   30   23   26   22  2.901644 0.940377 SUCCESS 122
111001010   28   22   23   25   27   21   27   29  2.851333 0.943338 SUCCESS 123
111001100   18   25   20   27   17   28   23   24  5.814355 0.668018 SUCCESS 124
111010000   29   22   32   23   26   29   17   24  7.003270 0.536280 SUCCESS 125
111010010   27   29   26   23   29   19   30   19  6.071203 0.639256 SUCCESS 126
111010100   28   33   24   29   31   32   28   24  9.438694 0.306649 SUCCESS 127
111010110   20   16   21   17   31   27   18   29 11.380943 0.181034 SUCCESS 128
111011000   33   29   26   26   21   21   20   17  8.366287 0.398532 SUCCESS 129
111011010   20   23   21   26   18   22   30   35  9.569766 0.296530 SUCCESS 130
111011100   35   23   27   29   19   26   22   26  7.724166 0.460868 SUCCESS 131
111100000   23   19   22   24   36   19   21   28  9.543949 0.298503 SUCCESS 132
111100010   22   23   21   24   21   16   30   21  6.118865 0.633919 SUCCESS 133
111100100   28   33   23   30   25   21   31   18  9.181846 0.327189 SUCCESS 134
111100110   20   24   21   28   19   31   22   23  5.272855 0.728055 SUCCESS 135
111101000   24   21   32   24   18   36   14   30 16.298129 0.038306 SUCCESS 136
111101010   25   30   20   22   29   25   27   23  3.690062 0.883949 SUCCESS 137
111101100   37   30   24   25   23   19   21   24  9.892812 0.272630 SUCCESS 138
111101110   28   23   28   22   19   27   19   23  4.264660 0.832490 SUCCESS 139
111110000   22   23   22   20   27   21   28   23  2.798375 0.946366 SUCCESS 140
111110010   20   28   21   27   25   25   25   21  2.680542 0.952780 SUCCESS 141
111110100   27   21   24   24   32   31   23   20  5.986469 0.648748 SUCCESS 142
111110110   22   25   25   25   18   29   22   28  3.714555 0.881916 SUCCESS 143
111111000   23   23   26   28   25   32   25   29  4.199786 0.838663 SUCCESS 144
111111010   22   21   28   19   30   31   26   24  5.808397 0.668684 SUCCESS 145
111111100   22   23   22   33   24   33   17   28  9.714740 0.285621 SUCCESS 146
111111110   23   25   24   35   27   35   28   28 11.014206 0.200896 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   21   21   19   20   31   24   25   36 10.603779 0.225176 SUCCESS   0
000000011   16   23   26   32   26   21   22   28  7.019158 0.534567 SUCCESS   1
000000101   29   21   17   22   26   22   32   27  7.036369 0.532714 SUCCESS   2
000000111   23   22   30   29   23   33   23   26  5.961976 0.651491 SUCCESS   3
000001001   33   23   24   28   24   17   27   28  6.935749 0.543581 SUCCESS   4
000001011   29   24   19   30   21   35   29   25  9.631330 0.291861 SUCCESS   5
000001101   12   22   24   18   34   20   28   29 14.669659 0.065896 SUCCESS   6
000001111   26   20   29   21   20   30   22   20  5.527056 0.700041 SUCCESS   7
000010001   21   22   24   16   29   28   23   22  5.501238 0.702903 SUCCESS   8
000010011   19   24   24   25   28   20   28   35  7.943944 0.438965 SUCCESS   9
000010101   28   28   22   19   28   29   29   26  5.029909 0.754375 SUCCESS  10
000010111   24   21   21   32   23   28   15   23  7.890985 0.444191 SUCCESS  11
000011001   23   27   26   30   21   22   33   29  6.572322 0.583397 SUCCESS  12
000011011   24   27   24   20   32   23   20   28  5.019979 0.755439 SUCCESS  13
000011101   18   32   24   31   25   24   26   28  6.715971 0.567564 SUCCESS  14
000011111   22   21   33   25   24   25   23   20  4.807483 0.777940 SUCCESS  15
000100011   25   25   19   24   29   27   16   20  6.263839 0.617704 SUCCESS  16
000100101   30   26   20   22   24   25   29   17  5.739551 0.676380 SUCCESS  17
000100111   23   20   31   25   25   24   29   26  3.792006 0.875385 SUCCESS  18
000101001   24   19   21   21   16   23   21   21  6.269797 0.617039 SUCCESS  19
000101011   22   21   27   14   28   23   32   23  8.764137 0.362582 SUCCESS  20
000101101   29   28   13   24   20   30   21   28 10.145689 0.254949 SUCCESS  21
000101111   21   25   19   32   16   28   18   23  9.542625 0.298605 SUCCESS  22
000110011   23   35   18   30   31   27   20   26 10.969853 0.203413 SUCCESS  23
000110101   23   23   18   19   30   24   29   25  5.383406 0.715921 SUCCESS  24
000110111   25   23   16   16   24   22   28   20  7.694377 0.463879 SUCCESS  25
000111001   28   26   19   18   28   22   16   23  7.491812 0.484614 SUCCESS  26
000111011   17   25   27   31   28   18   27   25  7.053581 0.530863 SUCCESS  27
000111101   28   20   33   26   26   23   25   23  4.902147 0.767982 SUCCESS  28
000111111   21   22   36   27   19   29   28   20 10.223140 0.249712 SUCCESS  29
001000011   24   28   26   27   27   30   24   30  3.903881 0.865690 SUCCESS  30
001000101   18   16   19   16   20   22   19   16 14.232090 0.075913 SUCCESS  31
001000111   27   17   27   21   13   23   26   17 11.396830 0.180212 SUCCESS  32
001001011   34   22   27   19   23   32   24   15 11.950907 0.153408 SUCCESS  33
001001101   15   23   21   27   21   20   25   29  6.822550 0.555894 SUCCESS  34
001001111   23   17   28   30   20   33   27   25  8.537078 0.382837 SUCCESS  35
001010011   22   18   24   29   18   19   27   26  6.246628 0.619627 SUCCESS  36
001010101   28   27   22   20   23   31   25   27  4.130940 0.845120 SUCCESS  37
001010111   26   18   28   22   25   22   31   27  5.028585 0.754517 SUCCESS  38
001011011   34   21   18   26   19   25   23   21  8.060452 0.427587 SUCCESS  39
001011101   28   22   36   18   21   22   26   26  9.180522 0.327297 SUCCESS  40
001011111   19   24   18   29   19   22   16   21  8.829011 0.356925 SUCCESS  41
001100101   21   29   30   27   20   23   29   24  4.808807 0.777802 SUCCESS  42
001100111   23   28   26   30   29   24   24   30  4.310337 0.828095 SUCCESS  43
001101011   27   24   19   25   23   25   21   24  2.137719 0.976496 SUCCESS  44
001101101   20   31   34   33   32   24   29   31 14.904661 0.061026 SUCCESS  45
001101111   20   21   17   19   23   31   22   22  7.279316 0.506818 SUCCESS  46
001110101   21   18   18   30   21   24   22   27  6.314149 0.612088 SUCCESS  47
001110111   19   32   22   29   32   27   24   25  7.580517 0.475480 SUCCESS  48
001111011   19   21   31   30   33   29   22   21  9.664429 0.289373 SUCCESS  49
001111101   27   34   25   22   22   25   26   27  5.106036 0.746185 SUCCESS  50
001111111   26   31   35   38   22   29   25   23 15.793700 0.045430 SUCCESS  51
010000011   29   24   24   23   33   16   31   20  9.782262 0.280642 SUCCESS  52
010000111   25   23   21   28   20   27   25   26  2.367426 0.967627 SUCCESS  53
010001011   17   22   14   18   14   20   15   21 18.510465 0.017709 SUCCESS  54
010001111   23   29   28   20   24   29   25   25  3.283606 0.915320 SUCCESS  55
010010011   24   25   25   32   24   15   23   18  8.051846 0.428422 SUCCESS  56
010010111   28   20   34   15   19   26   21   18 12.584422 0.126971 SUCCESS  57
010011011   18   23   16   31   24   18   21   29  9.779614 0.280836 SUCCESS  58
010011111   26   22   34   31   24   22   30   27  7.971085 0.436300 SUCCESS  59
010100011   26   27   27   20   29   30   27   25  4.030319 0.854378 SUCCESS  60
010100111   22   12   25   30   16   19   33   18 17.193125 0.028160 SUCCESS  61
010101011   26   27   23   25   31   31   22   28  4.979598 0.759754 SUCCESS  62
010101111   21   27   24   21   28   23   27   30  3.520595 0.897585 SUCCESS  63
010110011   26   29   17   20   17   21   25   15 10.710357 0.218657 SUCCESS  64
010110111   30   21   23   19   27   24   26   26  3.647033 0.887484 SUCCESS  65
010111011   34   19   35   15   21   35   18   26 20.738689 0.007875 FAILURE  66
010111111   18   31   17   24   15   21   15   28 14.430022 0.071223 SUCCESS  67
011000111   24   30   30   27   30   17   27   23  6.970171 0.539854 SUCCESS  68
011001111   22   23   20   21   24   21   29   22  3.272352 0.916122 SUCCESS  69
011010111   33   24   27   28   21   24   24   23  4.563213 0.803076 SUCCESS  70
011011111   27   25   25   14   33   37   24   25 14.782857 0.063508 SUCCESS  71
011101111   20   25   22   25   22   29   19   22  3.713231 0.882026 SUCCESS  72
011111111   32   34   33   35   25   28   27   22 15.345540 0.052765 SUCCESS  73
100000000   21   21   19   20   31   24   26   36 10.697118 0.219458 SUCCESS  74
100010000   24   22   20   21   24   23   22   28  2.442230 0.964370 SUCCESS  75
100100000   25   22   27   29   35   24   37   25 12.954469 0.113426 SUCCESS  76
100101000   17   38   23   26   22   27   25   22 11.137996 0.194002 SUCCESS  77
100110000   17   25   29   28   24   25   25   20  4.638017 0.795471 SUCCESS  78
100111000   23   31   25   22   29   28   18   25  5.384730 0.715775 SUCCESS  79
101000000   25   22   24   30   21   22   30   35  8.419245 0.393624 SUCCESS  80
101000100   23   30   23   29   28   21   25   20  4.265984 0.832363 SUCCESS  81
101001000   24   18   25   27   19   25   25   24  3.315381 0.913036 SUCCESS  82
101001100   17   36   27   31   23   21   27   26 11.122109 0.194876 SUCCESS  83
101010000   18   26   16   20   16   24   23   29  9.626034 0.292260 SUCCESS  84
101010100   17   30   26   23   23   21   28   28  5.511168 0.701802 SUCCESS  85
101011000   22   25   22   25   27   28   24   16  4.349393 0.824305 SUCCESS  86
101011100   24   25   22   30   19   24   30   29  5.063008 0.750821 SUCCESS  87
101100000   24   31   21   16   35   23   20   28 11.544452 0.172716 SUCCESS  88
101100100   18   18   30   26   21   39   32   22 17.120970 0.028874 SUCCESS  89
101101000   28   37   31   20   23   22   27   26 10.665343 0.221392 SUCCESS  90
101101100   26   28   29   28   26   18   30   16  8.265666 0.407959 SUCCESS  91
101110000   26   28   15   25   24   26   21   26  5.129206 0.743681 SUCCESS  92
101110100   30   26   21   29   31   21   28   27  5.996399 0.647635 SUCCESS  93
101111000   18   19   27   27   26   21   27   24  4.434127 0.815987 SUCCESS  94
101111100   27   23   20   16   25   32   25   22  6.900002 0.547459 SUCCESS  95
110000000   26   23   19   30   26   20   26   24  3.799288 0.874763 SUCCESS  96
110000010   23   23   24   18   32   26   22   24  4.714144 0.787646 SUCCESS  97
110000100   30   31   25   28   32   32   25   30  9.981518 0.266326 SUCCESS  98
110001000   22   20   19   18   22   26   18   23  6.202275 0.624586 SUCCESS  99
110001010   19   16   23   21   18   18   28   23  8.896533 0.351099 SUCCESS 100
110010000   19   31   25   25   31   31   31   21  9.140141 0.330612 SUCCESS 101
110010010   21   18   22   21   16   28   24   21  6.990693 0.537637 SUCCESS 102
110010100   24   30   30   26   17   31   23   21  7.511671 0.482562 SUCCESS 103
110011000   17   30   35   28   30   26   24   14 14.985423 0.059430 SUCCESS 104
110011010   25   29   26   28   15   19   25   27  6.849691 0.552933 SUCCESS 105
110100000   33   15   31   31   17   18   24   36 20.332234 0.009150 FAILURE 106
110100010   18   32   26   23   27   29   20   26  6.486264 0.592932 SUCCESS 107
110100100   20   24   21   26   24   26   33   20  5.493957 0.703709 SUCCESS 108
110101000   23   23   19   26   18   22   28   21  4.526142 0.806812 SUCCESS 109
110101010   15   30   27   28   31   21   25   29  9.156029 0.329305 SUCCESS 110
110101100   22   18   20   23   25   32   24   14  9.931869 0.269840 SUCCESS 111
110110000   31   33   25   22   29   17   24   27  8.749573 0.363860 SUCCESS 112
110110010   15   23   30   31   26   30   33   29 12.470562 0.131411 SUCCESS 113
110110100   25   37   30   16   32   16   26   29 17.502932 0.025278 SUCCESS 114
110111000   32   24   16   22   21   20   24   31  8.848870 0.355205 SUCCESS 115
110111010   25   19   22   33   31   30   24   22  8.054494 0.428165 SUCCESS 116
110111100   19   20   22   25   22   18   27   26  4.687003 0.790446 SUCCESS 117
111000000   25   19   23   27   23   21   20   22  3.255141 0.917341 SUCCESS 118
111000010   27   32   28   24   29   33   25   28  7.887675 0.444519 SUCCESS 119
111000100   25   16   24   18   19   20   21   29  8.185566 0.415557 SUCCESS 120
111000110   37   21   25   22   24   24   22   29  8.630417 0.374426 SUCCESS 121
111001000   23   17   19   22   27   24   23   22  4.500325 0.809401 SUCCESS 122
111001010   31   25   27   25   20   29   21   21  4.859118 0.772522 SUCCESS 123
111001100   18   22   37   27   27   26   26   16 12.485125 0.130836 SUCCESS 124
111010000   25   17   19   30   20   23   29   30  8.027353 0.430803 SUCCESS 125
111010010   22   19   21   21   21   24   31   21  5.288743 0.726316 SUCCESS 126
111010100   28   24   30   28   12   18   24   26 10.797739 0.213425 SUCCESS 127
111010110   23   21   27   25   28   30   20   14  8.153791 0.418593 SUCCESS 128
111011000   34   23   24   21   27   17   18   22  9.068647 0.336538 SUCCESS 129
111011010   22   23   26   17   26   25   24   19  4.119686 0.846167 SUCCESS 130
111011100   22   21   22   23   21   35   15   27 10.339649 0.241992 SUCCESS 131
111100000   20   16   23   24   27   19   21   26  6.016921 0.645336 SUCCESS 132
111100010   15   19   22   19   23   24   24   29  7.448783 0.489074 SUCCESS 133
111100100   25   19   19   17   18   29   24   24  7.448783 0.489074 SUCCESS 134
111100110   20   24   27   38   23   23   22   18 11.094968 0.196376 SUCCESS 135
111101000   23   23   23   23   24   25   22   26  0.705857 0.999512 SUCCESS 136
111101010   25   33   28   20   16   18   27   20 10.348254 0.241429 SUCCESS 137
111101100   20   23   29   25   29   27   23   26  3.190267 0.921856 SUCCESS 138
111101110   20   18   20   23   16   34   17   24 12.676437 0.123478 SUCCESS 139
111110000   26   20   29   26   33   20   22   22  6.375714 0.605224 SUCCESS 140
111110010   24   28   27   21   21   30   28   26  3.809218 0.873913 SUCCESS 141
111110100   30   24   26   26   19   22   24   28  3.588117 0.892244 SUCCESS 142
111110110   23   26   29   19   24   30   25   22  3.918445 0.864406 SUCCESS 143
111111000   20   17   30   25   32   15   25   26 10.797739 0.213425 SUCCESS 144
111111010   26   27   26   25   20   32   25   19  5.037190 0.753594 SUCCESS 145
111111100   27   27   26   35   28   22   24   26  6.352544 0.607806 SUCCESS 146
111111110   32   34   33   35   25   28   27   22 15.345540 0.052765 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   25   23   27   36   22   28   21   29  8.266990 0.407834 SUCCESS   0
000000011   26   23   28   31   23   20   26   30  4.927964 0.765247 SUCCESS   1
000000101   17   25   25   27   16   29   25   22  6.780845 0.560452 SUCCESS   2
000000111   19   25   26   27   25   22   17   27  4.510255 0.808406 SUCCESS   3
000001001   15   20   30   26   41   21   24   20 18.992387 0.014900 SUCCESS   4
000001011   21   20   24   28   21   24   16   18  7.084032 0.527594 SUCCESS   5
000001101   27   26   24   24   18   25   28   31  4.554607 0.803945 SUCCESS   6
000001111   21   18   24   27   25   18   15   24  8.016100 0.431899 SUCCESS   7
000010001   29   31   22   26   23   23   27   19  4.782990 0.780499 SUCCESS   8
000010011   19   22   23   18   30   26   34   21  9.128888 0.331540 SUCCESS   9
000010101   17   29   31   13   22   21   36   22 17.246084 0.027646 SUCCESS  10
000010111   23   22   26   20   16   23   18   26  6.169176 0.628288 SUCCESS  11
000011001   34   22   30   25   28   20   20   34 11.588805 0.170515 SUCCESS  12
000011011   19   21   22   28   20   26   22   30  5.018655 0.755580 SUCCESS  13
000011101   26   28   25   27   26   20   25   24  1.910660 0.983629 SUCCESS  14
000011111   25   20   25   23   26   23   24   22  1.375118 0.994593 SUCCESS  15
000100011   24   27   24   26   25   18   25   27  2.460765 0.963535 SUCCESS  16
000100101   21   22   23   25   34   30   18   23  7.883704 0.444912 SUCCESS  17
000100111   29   20   22   21   31   18   30   27  7.646715 0.468718 SUCCESS  18
000101001   29   27   32   20   32   27   26   19  8.529796 0.383499 SUCCESS  19
000101011   13   21   24   17   23   23   29   31 11.228688 0.189075 SUCCESS  20
000101101   21   23   18   26   17   26   24   20  5.669381 0.684210 SUCCESS  21
000101111   25   23   23   18   27   19   25   28  4.001854 0.856956 SUCCESS  22
000110011   28   25   29   22   23   16   23   28  5.409223 0.713075 SUCCESS  23
000110101   34   26   19   17   21   22   31   28 10.697118 0.219458 SUCCESS  24
000110111   19   22   25   34   21   19   20   25  7.958507 0.437534 SUCCESS  25
000111001   19   28   21   27   25   21   29   27  4.248773 0.834010 SUCCESS  26
000111011   24   27   34   25   29   18   33   23 10.063603 0.260590 SUCCESS  27
000111101   18   22   26   32   18   21   19   27  8.280229 0.406586 SUCCESS  28
000111111   31   21   27   22   26   15   18   23  8.534430 0.383078 SUCCESS  29
001000011   28   15   18   27   24   24   15   26 10.177464 0.252791 SUCCESS  30
001000101   26   27   22   21   23   30   28   23  3.173055 0.923032 SUCCESS  31
001000111   25   24   28   29   28   24   20   33  5.979188 0.649563 SUCCESS  32
001001011   30   20   31   24   34   29   17   25 11.139320 0.193929 SUCCESS  33
001001101   22   23   30   24   25   28   23   21  2.799699 0.946292 SUCCESS  34
001001111   24   19   26   17   32   25   22   27  6.663013 0.573388 SUCCESS  35
001010011   31   27   22   31   29   30   24   29  7.353458 0.499021 SUCCESS  36
001010101   26   33   27   16   24   27   21   15 11.043333 0.199256 SUCCESS  37
001010111   23   21   25   18   22   20   33   25  6.535251 0.587500 SUCCESS  38
001011011   23   23   26   23   14   30   19   19  8.736996 0.364966 SUCCESS  39
001011101   33   27   22   19   22   23   18   24  6.967524 0.540141 SUCCESS  40
001011111   29   26   25   21   26   27   19   24  3.147238 0.924780 SUCCESS  41
001100101   20   29   34   20   25   30   23   29  8.766785 0.362350 SUCCESS  42
001100111   16   27   33   21   21   21   23   30  9.289749 0.318446 SUCCESS  43
001101011   29   27   11   25   22   18   22   28 11.576227 0.171137 SUCCESS  44
001101101   27   19   14   23   23   34   39   17 21.525783 0.005874 FAILURE  45
001101111   18   16   25   30   20   23   22   28  7.763223 0.456934 SUCCESS  46
001110101   26   20   17   23   23   25   25   27  3.730442 0.880588 SUCCESS  47
001110111   26   25   23   29   33   17   26   26  6.774887 0.561104 SUCCESS  48
001111011   23   23   27   35   15   22   16   17 14.507473 0.069460 SUCCESS  49
001111101   29   33   24   23   22   22   28   26  5.266897 0.728706 SUCCESS  50
001111111   36   24   30   22   33   21   23   25 11.004276 0.201457 SUCCESS  51
010000011   14   26   21   20   22   21   16   25  9.735261 0.284101 SUCCESS  52
010000111   29   16   28   29   28   21   25   18  8.120692 0.421770 SUCCESS  53
010001011   25   24   19   16   22   30   21   28  6.856973 0.552140 SUCCESS  54
010001111   28   26   25   29   17   21   28   26  5.037190 0.753594 SUCCESS  55
010010011   22   26   30   26   30   32   21   26  6.165866 0.628658 SUCCESS  56
010010111   36   27   29   24   33   31   16   26 14.970859 0.059715 SUCCESS  57
010011011   22   19   19   23   24   29   23   25  3.797964 0.874876 SUCCESS  58
010011111   35   19   26   20   35   29   19   24 13.824972 0.086443 SUCCESS  59
010100011   26   19   17   30   23   27   42   31 20.333558 0.009145 FAILURE  60
010100111   26   32   26   25   26   25   26   20  3.733090 0.880366 SUCCESS  61
010101011   24   29   28   19   24   34   27   13 12.391786 0.134561 SUCCESS  62
010101111   18   31   18   19   23   20   31   27  9.585654 0.295319 SUCCESS  63
010110011   23   27   21   22   20   20   24   22  2.992335 0.934838 SUCCESS  64
010110111   22   17   32   27   22   26   14   23 10.313831 0.243686 SUCCESS  65
010111011   26   22   20   15   25   26   21   20  6.347248 0.608396 SUCCESS  66
010111111   21   21   26   23   20   27   19   25  3.526553 0.897119 SUCCESS  67
011000111   16   21   27   29   24   17   28   26  7.645391 0.468853 SUCCESS  68
011001111   16   17   32   30   21   20   24   21 10.889754 0.208024 SUCCESS  69
011010111   24   21   15   30   19   30   25   29  9.044154 0.338585 SUCCESS  70
011011111   24   25   24   36   23   26   15   21 10.154294 0.254363 SUCCESS  71
011101111   21   30   18   24   29   23   26   22  4.892217 0.769032 SUCCESS  72
011111111   33   27   17   23   28   23   22   24  6.706042 0.568655 SUCCESS  73
100000000   25   23   27   36   22   28   21   29  8.266990 0.407834 SUCCESS  74
100010000   29   27   23   20   24   16   20   27  6.187711 0.626214 SUCCESS  75
100100000   18   30   24   24   16   21   24   20  7.381261 0.496111 SUCCESS  76
100101000   21   25   20   31   30   25   26   19  5.858707 0.663055 SUCCESS  77
100110000   27   18   18   19   27   25   31   37 13.866677 0.085307 SUCCESS  78
100111000   24   24   31   26   23   18   22   32  6.477659 0.593887 SUCCESS  79
101000000   28   26   25   26   20   27   26   22  2.240988 0.972718 SUCCESS  80
101000100   20   24   20   27   19   20   24   24  4.000530 0.857076 SUCCESS  81
101001000   22   32   28   31   28   34   29   29 11.337252 0.183312 SUCCESS  82
101001100   28   23   30   21   28   28   19   31  6.631238 0.576890 SUCCESS  83
101010000   30   27   24   15   21   16   30   25 10.187393 0.252119 SUCCESS  84
101010100   32   22   23   23   24   23   22   25  3.206154 0.920762 SUCCESS  85
101011000   22   30   23   15   29   24   14   19 12.117726 0.146028 SUCCESS  86
101011100   28   18   33   20   24   27   28   25  7.096610 0.526246 SUCCESS  87
101100000   23   25   24   21   29   21   21   17  4.788948 0.779877 SUCCESS  88
